mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,mfcc_14_mean,mfcc_14_std,mfcc_15_mean,mfcc_15_std,mfcc_16_mean,mfcc_16_std,mfcc_17_mean,mfcc_17_std,mfcc_18_mean,mfcc_18_std,mfcc_19_mean,mfcc_19_std,mfcc_20_mean,mfcc_20_std,zcr_mean,zcr_std,centroid_mean,centroid_std,bandwidth_mean,bandwidth_std,rolloff_mean,rolloff_std,rms_mean,rms_std,tempo,label,filename
-113.59882,50.688946,121.57067,17.200207,-19.162262,15.348761,42.363937,12.289782,-6.362266,12.961207,18.621931,9.443115,-13.699734,8.22211,15.339802,8.306714,-12.274304,9.067516,10.970945,7.959054,-8.326061,7.859071,8.802088,7.161058,-3.6699407,6.419961,5.7446756,6.365338,-5.162783,7.0557942,0.7517066,7.240479,-1.687854,6.0444903,-0.40872997,6.4500523,-2.302677,7.419815,1.2224671,6.8513756,0.08304482066898686,0.027693783681433826,1784.1226412753101,360.20200501843135,2002.4124072733878,292.9751020236873,3805.7230301080335,949.3434134740136,0.1301843225955963,0.05318251624703407,123.046875,blues,blues.00000.wav
-207.52383,88.142525,123.98514,23.66249,8.947019,23.923552,35.86715,16.270117,2.9095943,16.732485,21.519472,12.504672,-8.556514,14.170464,23.370676,11.940147,-10.103608,12.888547,11.899242,10.21554,-5.558824,10.254578,5.3778763,9.808392,-2.234492,8.054382,4.220704,8.552802,-6.0106864,7.240819,0.9292941,7.438949,-0.72840273,7.7608895,0.29687235,6.937811,-0.28243035,7.148847,0.5306444,6.7667346,0.05603980870552978,0.03804630719740175,1530.2617669893777,613.1194898044935,2038.9876082704006,462.49876020502285,3550.7136156830047,1725.7783473036059,0.09590782225131989,0.048710573464632034,67.99958881578948,blues,blues.00001.wav
-90.757164,57.6011,140.44087,22.55784,-29.084547,20.29937,31.686693,11.998093,-13.976547,12.476432,25.753752,8.625063,-13.664991,10.336393,11.634442,10.320866,-11.778322,8.09211,9.714756,8.236647,-13.125314,7.5942054,5.7912464,8.030863,-8.901966,7.771137,-1.0801603,7.595408,-9.226245,6.042712,2.4483047,6.3750825,-7.7248397,6.9014235,-1.819024,7.2383423,-3.4404576,6.829597,-2.2381277,5.5365286,0.07629120746326373,0.031730570099435376,1552.8324814348227,395.56416787159077,1747.7540868495225,276.21624390702624,3042.4101154654873,885.5116455461281,0.17547321319580078,0.05244862288236618,161.4990234375,blues,blues.00002.wav
-199.57513,74.2177,150.0861,21.361393,5.663404,16.034643,26.855278,12.584162,1.7700713,16.369904,14.232647,11.26088,-4.827845,12.487864,9.286853,9.015004,-0.7561202,9.607383,8.134435,8.448777,-3.200026,10.500921,6.078081,6.9436674,-2.4784453,7.535,-1.0815871,7.8894234,-2.874454,7.1839976,0.7739941,6.665801,-3.3240693,7.086498,0.6363107,6.1094785,-0.61596763,6.1039147,-3.405046,5.6537824,0.03330886262567672,0.020561103742135052,1070.1534175250663,429.3786317904827,1596.4225644535766,408.10763806063386,2184.8790286035382,1221.9156472279285,0.14104026556015015,0.07967183738946915,63.02400914634146,blues,blues.00003.wav
-160.35417,72.10481,126.20948,29.210808,-35.581394,18.276552,22.139256,13.919527,-32.47355,18.341904,10.850701,11.613141,-23.35007,9.658858,0.4932492,11.168416,-11.796538,11.400674,1.2035191,9.9858465,-13.084959,8.957854,-2.8104997,9.297123,-6.9344707,9.462997,-7.5538754,8.421145,-9.167669,8.70369,-4.515863,9.273359,-5.451786,8.676217,-0.91595227,7.3234715,-4.408018,7.929848,-11.704385,7.429014,0.10146053871809745,0.04420548271538123,1835.12851277257,585.8749830350521,1748.4107584538087,297.28556049326386,3579.9574708164155,1253.928346818156,0.09150122106075287,0.04801338538527489,135.99917763157896,blues,blues.00004.wav
-177.80174,85.48365,118.20316,56.526146,-17.570627,25.575535,30.760923,22.038372,-21.74255,20.815298,11.91926,16.321997,-20.734297,13.027126,3.1852863,11.563017,-8.580815,13.123481,-0.9328867,10.006048,-11.772243,8.7495575,-2.4087648,8.877085,-9.348446,8.950292,-9.9426365,6.8945217,-3.9021833,7.7473025,-5.5745625,8.519198,-1.8393141,8.286502,-2.7893167,6.5169415,-3.047805,6.3089924,-8.109732,6.8031564,0.09404153373936582,0.07895058970522166,1832.0115969728529,1015.1274949259331,1729.5808044661662,449.27282802016987,3481.4676306917054,1809.5265116114597,0.10345287621021271,0.06309645622968674,69.83741554054055,blues,blues.00005.wav
-190.06882,98.25145,130.27023,43.9739,-36.362114,36.152878,33.036213,21.913311,11.093891,32.90848,-0.5918818,16.736532,-20.890266,12.315981,0.27844247,10.141663,-6.496385,11.449826,-5.5127354,12.385571,-7.847404,9.3544855,-3.1243007,8.013118,-6.6028214,8.896452,-9.949999,7.939676,-6.5426884,9.2922,-10.0722275,9.124393,-10.918623,7.5465555,-6.9652433,6.1860404,-3.4394312,6.9400034,-6.484499,8.379347,0.07305223740815932,0.04369405757996276,1459.4696908114731,661.8345705707311,1389.068445556609,430.2979447183728,2795.910729498985,1273.3843919480398,0.1417519599199295,0.09371273219585419,71.77734375,blues,blues.00006.wav
-179.3723,81.07715,136.44833,38.458363,-26.662588,24.314785,39.96545,18.7991,5.3108945,25.496857,10.919133,11.674244,-20.559534,12.794263,8.503361,12.299772,-11.349764,13.111818,-3.4705548,13.350184,-8.415842,12.147464,-6.957211,9.149783,-3.5460422,9.657396,-8.051759,7.577853,-8.964917,9.0697,-8.427482,8.394608,-10.5642805,7.212375,-10.785658,7.7786365,-4.6954694,8.098215,-8.631641,7.509124,0.061442246108855375,0.04299786357871877,1451.859413795751,670.5234080387489,1577.5671157628296,410.1190064204983,2955.3197165929523,1276.5411918238867,0.13176751136779785,0.07437695562839508,92.28515625,blues,blues.00007.wav
-121.38979,51.182755,122.49833,20.360193,-14.734729,18.47225,46.12214,13.92542,-8.179258,13.3069935,20.172466,10.341514,-19.171894,7.593371,23.036837,8.783775,-11.832729,6.524472,21.154655,7.6714864,-6.7227974,6.9941754,6.989506,7.5189896,-12.730549,7.8707085,5.0585384,7.1096497,-5.1858063,5.7468553,-1.4536041,7.1118336,-7.042629,5.3766575,2.694213,6.074218,3.4095309,5.8027234,-2.7137442,6.028459,0.06402488761600927,0.027045919171916347,1719.4633657271252,404.11438129424437,2031.8293659117528,324.90910152458673,3782.441190998405,1123.8258620667884,0.14232727885246277,0.038770075887441635,83.35433467741936,blues,blues.00008.wav
-213.26424,78.3133,115.16476,28.253563,-11.698171,25.866669,39.015358,18.73323,-20.34833,23.065073,13.082702,16.680668,-9.182701,11.24508,9.017152,8.244039,-14.10431,10.492645,4.2712545,9.623029,-6.0507803,9.211915,3.7858355,10.2183,0.22263548,8.737599,-5.1068816,9.242636,-0.41015333,10.197341,-1.1793449,7.702169,-1.914708,7.646007,-2.293661,9.117184,2.8842604,8.777371,-4.2338796,9.562769,0.07917482356921887,0.03711682977865272,1817.2305900912734,546.0232819290533,1973.7920387617448,337.84633270291323,3943.8319655416185,1169.0955250840677,0.08128055185079575,0.06592553853988647,80.74951171875,blues,blues.00009.wav
-173.81046,90.238914,137.17355,32.90371,-23.72303,32.077187,26.979677,22.257994,-16.67521,17.023214,4.1947303,12.652123,-12.571788,12.268544,5.851669,9.079922,-2.8769505,10.4205675,-1.1783811,8.102306,-1.9682401,7.451989,1.8011796,7.6105366,-3.0069504,9.677183,-1.8669492,6.334441,-0.7912434,7.052405,-3.0062358,7.936852,-0.43072948,7.5536256,-1.9965144,7.457188,-0.7501041,6.868774,-5.0069656,6.817335,0.06295882576856149,0.0210127131611687,1410.0234234402606,453.47455305058327,1512.304654662329,380.8228733313853,2765.967419971723,1194.8738071079904,0.1427881121635437,0.09589917957782745,161.4990234375,blues,blues.00010.wav
-287.9319,77.015236,124.010765,31.54355,5.4674478,17.38032,33.66307,18.560555,1.091654,21.005148,14.703699,15.342257,-4.8811417,12.228331,8.668892,13.759414,0.7843316,12.193044,6.57608,10.687589,-4.8758154,9.683863,-3.176761,9.175842,-5.538258,8.1112795,-6.779148,7.7999263,-2.646513,7.4496536,-2.9903204,7.38498,-3.3829944,6.3115654,-1.8589838,6.842933,1.839186,6.087604,-4.891355,5.303801,0.043930584759280744,0.04353977919397629,1352.7427097237662,715.5091580486181,1756.8820971332527,469.37893329823925,2880.9110920279873,1712.5840466031102,0.06570573896169662,0.04999326914548874,161.4990234375,blues,blues.00011.wav
-207.2383,67.64448,132.82741,25.807415,-15.45408,30.581554,60.980972,18.180555,0.7190262,17.718584,12.4613285,10.055081,1.1633853,10.389085,-1.5329198,10.565761,-17.89585,9.817126,8.360363,9.737114,-2.459651,11.817762,-0.5846393,9.6303835,0.37226447,9.280759,2.5984128,7.330446,-5.186428,6.7753825,-9.530309,8.321852,-9.2374735,7.9727054,-2.8471038,8.297416,-1.4193835,10.6101055,-5.9333534,9.563501,0.06909500676720805,0.04879100679250699,1360.6856016703396,507.03119580769817,1567.2994690310572,212.12167210623946,2738.8302548578886,976.2401372434001,0.11898959428071976,0.06368143856525421,184.5703125,blues,blues.00012.wav
-209.80392,44.3695,124.46476,23.279465,10.309394,25.73227,47.016357,12.182557,6.478227,10.094635,15.41512,12.090126,-2.0159419,8.332613,6.726218,8.718923,-21.543222,9.819252,10.720835,9.7908325,-5.5328465,9.521119,-2.1957276,7.6940365,-3.0491858,7.2328706,8.643513,8.470863,-0.30701312,8.28272,-0.63291764,9.41167,-2.9335587,9.868648,-1.7062988,10.21017,-1.7673151,9.424652,-7.755139,10.669385,0.0514017032820959,0.035431452423898294,1324.5278252945684,414.19425877210483,1827.8501316965392,279.88742338578675,2711.4849187935033,1037.4750877320284,0.11312991380691528,0.06475137174129486,107.666015625,blues,blues.00013.wav
